# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=50.0
lon,lat,iml
-79.5503,0.0927702,0.005
-79.5503,-0.356891,0.005
-79.5503,0.542431,0.005
-79.5503,-0.806551,0.005
-79.5503,0.992092,0.005
-79.5502,-1.25621,0.005
-79.5502,1.44175,0.005
-79.5501,-1.70587,0.005
-79.5501,1.89141,0.005
-79.55,-2.15553,0.005
-79.55,2.34107,0.005
-79.5499,-2.60519,0.005
-79.5498,2.79073,0.005
-79.5497,-3.05486,0.005
-79.5496,3.2404,0.005
-79.5495,-3.50452,0.005
-79.5494,3.69006,0.005
-79.5493,-3.95418,0.005
-79.5492,4.13972,0.005
-79.549,-4.40384,0.005
-79.5489,4.58938,0.005
-79.5487,-4.8535,0.005
-79.5486,5.03904,0.005
-79.5484,-5.30316,0.005
-79.5483,5.4887,0.005
-79.5481,-5.75282,0.005
-79.5479,5.93836,0.005
-79.5477,-6.20248,0.005
-79.5475,6.38802,0.005
-79.5473,-6.65214,0.005
-79.5471,6.83768,0.005
-79.5469,-7.1018,0.005
-79.5467,7.28734,0.005
-79.5464,-7.55146,0.005
-79.5462,7.737,0.005
-79.5459,-8.00112,0.005
-79.5457,8.18666,0.005
-79.5454,-8.45079,0.005
-79.5452,8.63633,0.005
-79.5449,-8.90045,0.005
-79.5446,9.08599,0.005
-79.5443,-9.35011,0.005
-79.544,9.53565,0.005
-79.5437,-9.79977,0.005
-79.5434,9.98531,0.005
-79.543,-10.2494,0.005
-79.5428,10.435,0.005
-79.5424,-10.6991,0.005
-79.5421,10.8846,0.005
-79.5417,-11.1487,0.005
-79.5414,11.3343,0.005
-79.541,-11.5984,0.005
-79.5407,11.784,0.005
-79.5402,-12.0481,0.005
-79.5399,12.2336,0.005
-79.5394,-12.4977,0.005
-79.5391,12.6833,0.005
-79.5386,-12.9474,0.005
-79.5383,13.1329,0.005
-79.5378,-13.3971,0.005
-79.5374,13.5826,0.005
-79.5369,-13.8467,0.005
-79.5365,14.0323,0.005
-79.536,-14.2964,0.005
-79.535,-14.746,0.005
-79.534,-15.1957,0.005
-79.533,-15.6454,0.005
-79.532,-16.095,0.005
-79.5309,-16.5447,0.005
-79.5298,-16.9943,0.005
-79.5287,-17.444,0.005
-79.5275,-17.8937,0.005
-79.5263,-18.3433,0.005
-79.525,-18.793,0.005
-79.5237,-19.2426,0.005
-79.5224,-19.6923,0.005
-79.521,-20.142,0.005
-79.5197,-20.5916,0.005
-79.5182,-21.0413,0.005
-79.5167,-21.4909,0.005
-79.5152,-21.9406,0.005
-79.5137,-22.3903,0.005
-79.5121,-22.8399,0.005
-79.5105,-23.2896,0.005
-79.5088,-23.7393,0.005
-79.5071,-24.1889,0.005
-79.5053,-24.6386,0.005
-79.5035,-25.0882,0.005
-79.5017,-25.5379,0.005
-79.4998,-25.9876,0.005
-79.4978,-26.4372,0.005
-79.4958,-26.8869,0.005
-79.4938,-27.3365,0.005
-79.4917,-27.7862,0.005
-79.4896,-28.2359,0.005
-79.4874,-28.6855,0.005
-79.4852,-29.1352,0.005
-79.4829,-29.5848,0.005
-79.4806,-30.0345,0.005
-79.4782,-30.4842,0.005
-79.4758,-30.9338,0.005
-79.4733,-31.3835,0.005
-79.4707,-31.8331,0.005
-79.4681,-32.2828,0.005
-79.4655,-32.7325,0.005
-79.4627,-33.1821,0.005
-79.4599,-33.6318,0.005
-79.4571,-34.0815,0.005
-79.4542,-34.5311,0.005
-79.4512,-34.9808,0.005
-79.4482,-35.4304,0.005
-79.445,-35.8801,0.005
-79.4419,-36.3298,0.005
-79.4386,-36.7794,0.005
-79.1007,0.0927702,0.005
-79.1007,-0.356891,0.005
-79.1006,0.542431,0.005
-79.1006,-0.806551,0.005
-79.1005,0.992092,0.005
-79.1005,-1.25621,0.005
-79.1004,1.44175,0.005
-79.1003,-1.70587,0.005
-79.1002,1.89141,0.005
-79.1,-2.15553,0.005
-79.0999,2.34107,0.005
-79.0997,-2.60519,0.005
-79.0996,2.79073,0.005
-79.0994,-3.05486,0.005
-79.0992,3.2404,0.005
-79.099,-3.50452,0.005
-79.0988,3.69006,0.005
-79.0985,-3.95418,0.005
-79.0983,4.13972,0.005
-79.098,-4.40384,0.005
-79.0978,4.58938,0.005
-79.0974,-4.8535,0.005
-79.0972,5.03904,0.005
-79.0968,-5.30316,0.005
-79.0965,5.4887,0.005
-79.0961,-5.75282,0.005
-79.0958,5.93836,0.005
-79.0954,-6.20248,0.005
-79.0951,6.38802,0.005
-79.0946,-6.65214,0.005
-79.0942,6.83768,0.005
-79.0937,-7.1018,0.005
-79.0934,7.28734,0.005
-79.0928,-7.55146,0.005
-79.0924,7.737,0.005
-79.0918,-8.00112,0.005
-79.0914,8.18666,0.005
-79.0908,-8.45079,0.005
-79.0904,8.63633,0.005
-79.0897,-8.90045,0.005
-79.0893,9.08599,0.005
-79.0886,-9.35011,0.005
-79.0881,9.53565,0.005
-79.0874,-9.79977,0.005
-79.0868,9.98531,0.005
-79.0861,-10.2494,0.005
-79.0856,10.435,0.005
-79.0848,-10.6991,0.005
-79.0842,10.8846,0.005
-79.0834,-11.1487,0.005
-79.0828,11.3343,0.005
-79.0819,-11.5984,0.005
-79.0813,11.784,0.005
-79.0804,-12.0481,0.005
-79.0798,12.2336,0.005
-79.0789,-12.4977,0.005
-79.0782,12.6833,0.005
-79.0772,-12.9474,0.005
-79.0765,13.1329,0.005
-79.0755,-13.3971,0.005
-79.0748,13.5826,0.005
-79.0738,-13.8467,0.005
-79.073,14.0323,0.005
-79.0719,-14.2964,0.005
-79.0701,-14.746,0.005
-79.0681,-15.1957,0.005
-79.0661,-15.6454,0.005
-79.064,-16.095,0.005
-79.0618,-16.5447,0.005
-79.0596,-16.9943,0.005
-79.0573,-17.444,0.005
-79.055,-17.8937,0.005
-79.0525,-18.3433,0.005
-79.05,-18.793,0.005
-79.0475,-19.2426,0.005
-79.0448,-19.6923,0.005
-79.0421,-20.142,0.005
-79.0393,-20.5916,0.005
-79.0364,-21.0413,0.005
-79.0335,-21.4909,0.005
-79.0305,-21.9406,0.005
-79.0274,-22.3903,0.005
-79.0242,-22.8399,0.005
-79.0209,-23.2896,0.005
-79.0176,-23.7393,0.005
-79.0141,-24.1889,0.005
-79.0106,-24.6386,0.005
-79.007,-25.0882,0.005
-79.0033,-25.5379,0.005
-78.9995,-25.9876,0.005
-78.9957,-26.4372,0.005
-78.9917,-26.8869,0.005
-78.9876,-27.3365,0.005
-78.9835,-27.7862,0.005
-78.9792,-28.2359,0.005
-78.9749,-28.6855,0.005
-78.9704,-29.1352,0.005
-78.9659,-29.5848,0.005
-78.9612,-30.0345,0.005
-78.9564,-30.4842,0.005
-78.9516,-30.9338,0.005
-78.9466,-31.3835,0.005
-78.9415,-31.8331,0.005
-78.9363,-32.2828,0.005
-78.9309,-32.7325,0.005
-78.9255,-33.1821,0.005
-78.9199,-33.6318,0.005
-78.9142,-34.0815,0.005
-78.9084,-34.5311,0.005
-78.9024,-34.9808,0.005
-78.8963,-35.4304,0.005
-78.8901,-35.8801,0.005
-78.8837,-36.3298,0.005
-78.8772,-36.7794,0.005
-78.8705,-37.2291,0.005
-78.651,0.0927702,0.005
-78.651,-0.356891,0.005
-78.651,0.542431,0.005
-78.6509,-0.806551,0.005
-78.6508,0.992092,0.005
-78.6507,-1.25621,0.005
-78.6506,1.44175,0.005
-78.6504,-1.70587,0.005
-78.6503,1.89141,0.005
-78.6501,-2.15553,0.005
-78.6499,2.34107,0.005
-78.6496,-2.60519,0.005
-78.6494,2.79073,0.005
-78.6491,-3.05486,0.005
-78.6489,3.2404,0.005
-78.6485,-3.50452,0.005
-78.6482,3.69006,0.005
-78.6478,-3.95418,0.005
-78.6475,4.13972,0.005
-78.647,-4.40384,0.005
-78.6467,4.58938,0.005
-78.6462,-4.8535,0.005
-78.6458,5.03904,0.005
-78.6452,-5.30316,0.005
-78.6448,5.4887,0.005
-78.6442,-5.75282,0.005
-78.6437,5.93836,0.005
-78.6431,-6.20248,0.005
-78.6426,6.38802,0.005
-78.6419,-6.65214,0.005
-78.6414,6.83768,0.005
-78.6406,-7.1018,0.005
-78.64,7.28734,0.005
-78.6392,-7.55146,0.005
-78.6386,7.737,0.005
-78.6378,-8.00112,0.005
-78.6371,8.18666,0.005
-78.6362,-8.45079,0.005
-78.6355,8.63633,0.005
-78.6346,-8.90045,0.005
-78.6339,9.08599,0.005
-78.6329,-9.35011,0.005
-78.6321,9.53565,0.005
-78.631,-9.79977,0.005
-78.6303,9.98531,0.005
-78.6291,-10.2494,0.005
-78.6283,10.435,0.005
-78.6272,-10.6991,0.005
